year,session,month,level,scoring_section,max_score,mean_score,standard_deviation,population,source_url
2022,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,30.2,9.2,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N1,Reading,60,27.2,13.9,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N2,Reading,60,23.8,12.5,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N3,Reading,60,29.2,10.7,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,55.7,22.8,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,53.5,21.2,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N1,Listening,60,34.4,11.0,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N2,Listening,60,36.2,10.4,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N3,Listening,60,34.8,10.4,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N4,Listening,60,30.4,10.0,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N5,Listening,60,28.9,9.1,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N1,Total Score,180,89.9,30.8,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N2,Total Score,180,84.6,28.5,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N3,Total Score,180,94.2,26.0,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N4,Total Score,180,86.1,29.9,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N5,Total Score,180,82.4,28.5,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2023,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,29.7,10.6,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,27.5,11.1,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,30.5,9.9,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N1,Reading,60,29.3,14.9,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N2,Reading,60,27.3,12.4,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N3,Reading,60,28.8,11.3,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,58.0,21.2,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.3,21.6,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N1,Listening,60,32.4,10.5,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N2,Listening,60,34.6,9.8,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N3,Listening,60,35.3,10.9,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N4,Listening,60,29.2,9.6,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N5,Listening,60,29.1,8.5,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N1,Total Score,180,91.4,30.6,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N2,Total Score,180,89.4,26.9,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N3,Total Score,180,94.6,26.8,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N4,Total Score,180,87.2,27.5,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,1,7,N5,Total Score,180,83.4,27.9,Total,https://www.jlpt.jp/statistics/pdf/2023_1_5.pdf
2023,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,29.5,9.5,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,27.3,9.1,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,29.4,8.2,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N1,Reading,60,28.1,13.5,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N2,Reading,60,26.0,11.2,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N3,Reading,60,27.6,9.5,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,51.6,20.1,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,53.4,20.3,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N1,Listening,60,32.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N2,Listening,60,34.8,9.7,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N3,Listening,60,33.4,10.6,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N4,Listening,60,28.9,9.7,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N5,Listening,60,28.5,9.6,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N1,Total Score,180,90.1,28.1,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N2,Total Score,180,88.1,24.1,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N3,Total Score,180,90.4,24.0,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N4,Total Score,180,80.5,27.2,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2023,2,12,N5,Total Score,180,81.8,27.7,Total,https://www.jlpt.jp/statistics/pdf/2023_2_5.pdf
2024,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,29.0,10.5,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,27.6,8.7,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,30.0,9.0,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N1,Reading,60,28.7,14.7,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N2,Reading,60,26.9,11.8,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N3,Reading,60,26.8,10.9,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,55.8,19.4,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.2,20.2,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N1,Listening,60,32.8,10.7,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N2,Listening,60,33.2,10.9,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N3,Listening,60,35.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N4,Listening,60,30.7,8.7,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N5,Listening,60,28.6,9.2,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N1,Total Score,180,90.5,30.3,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N2,Total Score,180,87.6,24.7,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N3,Total Score,180,92.3,25.5,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N4,Total Score,180,86.6,25.6,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,1,7,N5,Total Score,180,82.8,27.2,Total,https://www.jlpt.jp/statistics/pdf/2024_1_5.pdf
2024,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,27.9,11.3,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,25.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,29.2,8.0,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N1,Reading,60,26.8,14.9,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N2,Reading,60,24.4,12.3,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N3,Reading,60,27.4,10.5,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,52.6,19.5,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,55.0,22.0,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N1,Listening,60,32.5,10.4,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N2,Listening,60,34.6,10.5,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N3,Listening,60,33.4,10.0,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N4,Listening,60,30.0,9.6,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N5,Listening,60,28.4,9.2,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N1,Total Score,180,87.2,30.3,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N2,Total Score,180,84.5,26.5,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N3,Total Score,180,90.0,24.0,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N4,Total Score,180,82.6,26.5,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2024,2,12,N5,Total Score,180,83.5,29.1,Total,https://www.jlpt.jp/statistics/pdf/2024_2_5.pdf
2025,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,27.6,10.7,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,25.9,10.0,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,28.4,8.3,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N1,Reading,60,27.5,13.1,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N2,Reading,60,24.9,11.1,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N3,Reading,60,27.5,9.6,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,53.9,19.2,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.6,21.3,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N1,Listening,60,32.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N2,Listening,60,34.2,10.6,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N3,Listening,60,35.2,10.6,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N4,Listening,60,30.6,9.7,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N5,Listening,60,29.1,9.4,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N1,Total Score,180,87.5,28.9,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N2,Total Score,180,85.0,25.0,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N3,Total Score,180,91.1,23.2,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N4,Total Score,180,84.4,26.0,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,1,7,N5,Total Score,180,83.7,28.7,Total,https://www.jlpt.jp/statistics/pdf/2025_1_5.pdf
2025,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,28.2,10.4,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,24.3,10.5,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,27.9,8.3,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N1,Reading,60,28.0,13.7,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N2,Reading,60,24.7,12.0,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N3,Reading,60,26.5,9.3,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,52.6,20.6,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.4,21.0,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N1,Listening,60,33.5,10.1,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N2,Listening,60,34.8,9.5,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N3,Listening,60,33.4,10.5,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N4,Listening,60,29.5,9.2,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N5,Listening,60,29.0,8.6,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N1,Total Score,180,89.7,28.1,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N2,Total Score,180,83.8,26.0,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N3,Total Score,180,87.7,23.0,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N4,Total Score,180,82.1,27.0,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
2025,2,12,N5,Total Score,180,83.3,27.6,Total,https://www.jlpt.jp/statistics/pdf/2025_2_5.pdf
